,City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,egvekinot,66.32,-179.17,37.65,75,100,7.31,RU,1970-01-01
1,avarua,-21.21,-159.78,69.8,64,19,3.36,CK,1970-01-01
2,vaitupu,42.6,-73.97,70.0,67,12,14.12,US,1970-01-01
3,albany,-0.6,73.08,82.78,76,94,12.46,MV,1970-01-01
4,hithadhoo,40.43,71.72,78.8,14,100,6.93,UZ,1970-01-01
5,komsomolskiy,57.05,-135.33,53.6,76,90,3.29,US,1970-01-01
6,sitka,-21.34,55.48,68.0,94,75,13.87,RE,1970-01-01
7,saint-pierre,-37.62,-73.65,51.55,80,97,3.53,CL,1970-01-01
8,lebu,-23.12,-134.97,72.86,85,7,9.82,PF,1970-01-01
9,rikitea,60.14,-45.24,42.71,85,57,19.57,GL,1970-01-01
10,nanortalik,72.79,-56.15,35.22,93,100,11.36,GL,1970-01-01
11,upernavik,-42.78,147.06,61.0,48,100,13.87,AU,1970-01-01
12,new norfolk,-41.29,174.78,41.0,93,12,3.36,NZ,1970-01-01
13,wellington,13.59,-89.83,77.0,93,60,1.01,SV,1970-01-01
14,acajutla,-10.17,123.58,76.3,76,66,12.8,ID,1970-01-01
15,mys shmidta,71.69,128.87,42.96,84,26,4.94,RU,1970-01-01
16,kupang,77.48,-69.36,23.09,80,37,6.44,GL,1970-01-01
17,barentsburg,56.39,28.12,59.67,71,100,5.66,LV,1970-01-01
18,tiksi,25.52,90.22,75.49,90,94,4.45,IN,1970-01-01
19,qaanaaq,-54.8,-68.3,39.2,74,75,3.42,AR,1970-01-01
20,zilupe,-30.98,-54.67,59.29,73,93,13.56,BR,1970-01-01
21,tura,-33.65,115.33,50.0,69,5,9.84,AU,1970-01-01
22,ushuaia,11.0,122.67,78.4,88,90,2.57,PH,1970-01-01
23,dom pedrito,38.52,-28.7,71.6,68,40,25.28,PT,1970-01-01
24,busselton,14.47,-60.87,86.0,74,75,9.17,MQ,1970-01-01
25,dingle,-34.53,20.04,69.8,64,0,13.87,ZA,1970-01-01
26,ribeira grande,-21.2,-175.2,71.6,73,75,8.05,TO,1970-01-01
27,le marin,22.08,-159.32,80.6,78,75,10.29,US,1970-01-01
28,bredasdorp,64.57,143.2,41.54,79,100,6.55,RU,1970-01-01
29,vaini,1.0,-52.0,90.64,48,32,3.89,BR,1970-01-01
30,kapaa,71.92,114.08,43.45,63,0,8.95,RU,1970-01-01
31,ust-nera,-33.93,18.42,72.0,49,0,10.29,ZA,1970-01-01
32,amapa,43.1,-79.07,72.0,77,90,25.28,CA,1970-01-01
33,saskylakh,50.68,156.12,54.32,91,29,8.43,RU,1970-01-01
34,cape town,69.45,-133.04,42.8,87,75,14.99,CA,1970-01-01
35,niagara falls,-0.74,-90.35,64.99,96,100,5.99,EC,1970-01-01
36,severo-kurilsk,-33.59,26.89,67.28,76,9,12.17,ZA,1970-01-01
37,tidore,42.33,-83.33,73.4,83,90,12.75,US,1970-01-01
38,tuktoyaktuk,17.96,-102.2,78.3,80,45,4.7,MX,1970-01-01
39,puerto ayora,-42.88,147.33,61.0,48,100,13.87,AU,1970-01-01
40,port alfred,28.89,64.41,90.84,11,0,9.57,PK,1970-01-01
41,garden city,-16.48,-151.75,77.38,81,1,11.83,PF,1970-01-01
42,lazaro cardenas,-27.01,30.81,74.37,33,51,9.26,ZA,1970-01-01
43,hobart,-25.24,130.99,69.8,21,0,1.1,AU,1970-01-01
44,dalbandin,50.1,-91.92,41.0,75,40,13.87,CA,1970-01-01
45,faanui,-9.8,-139.03,77.81,78,5,19.8,PF,1970-01-01
46,piet retief,49.7,-112.82,42.8,93,90,13.87,CA,1970-01-01
47,yulara,50.23,-63.6,55.4,76,1,6.93,CA,1970-01-01
48,sioux lookout,41.67,-2.67,64.0,41,2,17.0,ES,1970-01-01
49,atuona,-34.42,19.23,72.0,63,0,5.99,ZA,1970-01-01
50,toliary,42.1,-79.24,63.0,87,90,11.41,US,1970-01-01
51,lethbridge,19.73,-155.09,73.4,88,20,6.93,US,1970-01-01
52,havre-saint-pierre,-33.87,121.9,50.0,93,40,4.7,AU,1970-01-01
53,soria,27.04,14.43,101.86,10,0,12.33,LY,1970-01-01
54,hermanus,-38.0,-57.56,46.4,100,40,5.82,AR,1970-01-01
55,jamestown,42.97,46.09,84.2,48,75,6.71,RU,1970-01-01
56,hilo,55.97,54.8,61.93,63,0,2.33,RU,1970-01-01
57,esperance,-46.28,169.85,42.01,87,24,4.68,NZ,1970-01-01
58,sabha,-46.19,168.86,45.0,72,29,11.01,NZ,1970-01-01
59,mar del plata,37.4,136.9,84.16,68,0,16.17,JP,1970-01-01
60,vedeno,-6.22,-57.75,86.0,74,90,3.42,BR,1970-01-01
61,kaltasy,-21.48,-56.14,81.45,54,100,6.4,BR,1970-01-01
62,kaitangata,18.42,84.05,82.71,84,62,6.4,IN,1970-01-01
63,mataura,-20.23,164.02,72.75,78,100,16.15,NC,1970-01-01
64,wajima,39.05,-27.98,69.53,75,72,22.59,PT,1970-01-01
65,jacareacanga,9.35,-65.32,82.08,84,0,3.96,VE,1970-01-01
66,jardim,-37.83,140.77,69.8,30,100,24.16,AU,1970-01-01
67,narasannapeta,20.7,-105.2,78.01,100,40,4.7,MX,1970-01-01
68,poum,47.67,-52.73,64.0,67,20,11.41,CA,1970-01-01
69,lagoa,-8.93,125.41,56.07,76,53,3.71,TL,1970-01-01
70,zaraza,51.02,45.7,73.87,24,0,9.46,RU,1970-01-01
71,illoqqortoormiut,30.75,73.03,91.83,39,0,2.15,PK,1970-01-01
72,mount gambier,70.63,147.92,36.81,86,73,7.0,RU,1970-01-01
73,ixtapa,50.35,90.5,39.27,72,3,2.66,RU,1970-01-01
74,torbay,6.3,-10.8,86.0,70,75,10.29,LR,1970-01-01
75,grand river south east,40.6,-124.16,64.4,63,1,10.29,US,1970-01-01
76,airai,-53.15,-70.92,41.0,86,100,5.82,CL,1970-01-01
77,krasnoarmeysk,64.38,-173.3,40.68,70,100,17.54,RU,1970-01-01
78,chak azam sahu,24.09,32.91,115.2,8,3,11.59,EG,1970-01-01
79,chokurdakh,20.0,-3.0,103.89,15,1,3.89,ML,1970-01-01
80,mugur-aksy,-33.7,-53.46,57.92,66,0,10.09,UY,1970-01-01
81,monrovia,29.03,21.55,96.39,17,0,9.71,LY,1970-01-01
82,fortuna,-22.0,148.05,61.03,84,0,11.03,AU,1970-01-01
83,punta arenas,-8.84,13.23,78.8,74,40,10.29,AO,1970-01-01
84,provideniya,-16.52,-151.75,78.22,79,1,11.79,PF,1970-01-01
85,aswan,18.09,-67.15,87.01,75,17,4.0,PR,1970-01-01
86,tombouctou,-34.05,23.37,64.13,73,0,8.08,ZA,1970-01-01
87,chuy,48.22,46.83,79.41,25,9,13.51,RU,1970-01-01
88,jalu,26.93,-80.09,84.99,88,1,5.82,US,1970-01-01
89,moranbah,46.42,3.91,77.0,33,0,11.41,FR,1970-01-01
90,luanda,70.02,135.6,42.26,90,100,3.69,RU,1970-01-01
91,vaitape,-9.01,-35.22,79.5,65,0,9.8,BR,1970-01-01
92,cabo rojo,-21.36,55.77,68.0,94,75,13.87,RE,1970-01-01
93,plettenberg bay,39.18,-84.53,75.99,68,78,1.01,US,1970-01-01
94,nizhniy baskunchak,-45.42,167.72,37.98,86,6,1.54,NZ,1970-01-01
95,jupiter,59.7,30.79,64.4,63,75,8.95,RU,1970-01-01
96,saint-francois,-10.0,39.72,84.2,51,40,17.22,TZ,1970-01-01
97,ust-kuyga,-30.18,-50.21,58.75,89,100,12.75,BR,1970-01-01
98,ijaki,30.99,103.94,84.2,58,26,6.71,CN,1970-01-01
99,maragogi,3.07,172.79,82.67,77,6,9.71,KI,1970-01-01
100,saint-philippe,35.73,140.83,79.0,94,40,9.17,JP,1970-01-01
101,hamilton,30.48,-115.95,77.02,61,0,3.87,MX,1970-01-01
102,te anau,54.63,-8.45,63.0,100,90,12.75,IE,1970-01-01
103,nikolskoye,62.0,132.43,44.13,89,41,6.8,RU,1970-01-01
104,lindi,62.46,-114.35,39.99,73,75,2.24,CA,1970-01-01
105,cidreira,38.42,-121.42,73.99,73,1,3.36,US,1970-01-01
106,tianpeng,57.31,88.17,45.03,92,9,2.17,RU,1970-01-01
107,butaritari,44.76,-85.62,64.4,55,75,16.11,US,1970-01-01
108,hasaki,36.9,-104.44,57.0,50,1,6.93,US,1970-01-01
109,san quintin,-17.73,-149.15,73.4,83,20,5.82,PF,1970-01-01
110,killybegs,-34.58,150.86,60.01,80,1,1.01,AU,1970-01-01
111,churapcha,-17.93,19.77,90.21,11,0,10.49,NA,1970-01-01
112,yellowknife,78.22,15.64,41.0,75,75,9.17,SJ,1970-01-01
113,laguna,37.52,42.46,102.2,9,0,17.22,TR,1970-01-01
114,teguldet,-33.92,25.57,66.2,77,20,10.29,ZA,1970-01-01
115,traverse city,34.33,71.18,89.6,43,20,6.93,PK,1970-01-01
116,raton,53.45,89.53,41.56,88,1,2.08,RU,1970-01-01
117,tautira,-8.27,-72.74,88.03,56,28,2.42,BR,1970-01-01
118,flinders,5.41,100.34,80.6,88,20,2.24,MY,1970-01-01
119,rundu,21.46,-71.14,82.18,77,100,13.91,TC,1970-01-01
120,longyearbyen,40.16,-8.33,88.0,37,0,8.32,PT,1970-01-01
121,sirnak,6.37,126.17,84.25,74,100,9.24,PH,1970-01-01
122,belushya guba,53.71,37.29,73.96,48,100,6.82,RU,1970-01-01
123,port elizabeth,-32.72,152.15,60.01,72,0,8.05,AU,1970-01-01
124,shinpokh,-38.27,141.97,68.5,35,100,24.02,AU,1970-01-01
125,biskamzha,58.81,-122.7,32.0,95,90,4.7,CA,1970-01-01
126,porto walter,-20.34,57.76,75.2,83,75,11.41,MU,1970-01-01
127,georgetown,-20.33,-40.29,82.0,65,20,13.87,BR,1970-01-01
128,cockburn town,12.35,29.25,87.94,52,25,9.17,SD,1970-01-01
129,lata,-40.81,-63.0,55.0,64,0,8.01,AR,1970-01-01
130,lolua,-33.37,116.15,48.99,69,0,3.65,AU,1970-01-01
131,pundaguitan,70.03,20.97,55.4,82,20,4.7,NO,1970-01-01
132,plavsk,57.79,-152.41,57.2,76,75,9.17,US,1970-01-01
133,nelson bay,-24.87,113.63,68.0,77,58,16.11,AU,1970-01-01
134,codrington,-22.12,14.28,55.99,89,8,7.0,NA,1970-01-01
135,fort nelson,33.34,44.4,113.9,6,0,6.96,IQ,1970-01-01
136,bambous virieux,17.65,83.27,86.0,79,40,6.93,IN,1970-01-01
137,vila velha,-2.57,150.8,82.9,79,2,15.5,PG,1970-01-01
138,abu zabad,64.3,41.92,59.0,87,75,4.47,RU,1970-01-01
139,sataua,-46.13,167.68,45.0,72,11,11.01,NZ,1970-01-01
140,viedma,51.32,42.77,80.01,20,100,7.38,RU,1970-01-01
141,collie,-12.74,-60.15,89.6,31,24,5.82,BR,1970-01-01
142,skjervoy,0.6,-80.03,73.98,81,100,7.45,EC,1970-01-01
143,kodiak,66.04,-17.34,48.2,88,75,12.75,IS,1970-01-01
144,carnarvon,-29.95,-71.34,53.6,76,75,11.41,CL,1970-01-01
145,henties bay,38.6,-77.16,75.0,94,1,4.7,US,1970-01-01
146,baghdad,-17.71,-39.25,80.55,65,57,9.46,BR,1970-01-01
147,yarada,-35.17,173.17,50.29,79,0,7.29,NZ,1970-01-01
148,kavieng,-46.6,168.33,45.0,72,18,11.01,NZ,1970-01-01
149,lukovetskiy,59.65,67.41,51.66,70,100,5.79,RU,1970-01-01
150,tuatapere,50.03,-66.87,57.0,81,75,6.93,CA,1970-01-01
151,kamenka,51.55,-9.27,68.0,72,75,19.46,IE,1970-01-01
152,vilhena,14.9,-24.5,79.61,80,27,10.83,CV,1970-01-01
153,muisne,-33.02,27.91,68.0,72,20,10.29,ZA,1970-01-01
154,husavik,33.19,-82.53,75.2,57,1,9.17,US,1970-01-01
155,coquimbo,-34.65,-59.43,59.0,62,73,4.0,AR,1970-01-01
156,indian head,-31.67,18.5,85.01,21,0,11.43,ZA,1970-01-01
157,caravelas,5.33,103.14,84.2,79,20,5.14,MY,1970-01-01
158,ahipara,55.74,-97.86,37.4,83,90,13.87,CA,1970-01-01
159,bluff,-8.47,140.33,78.96,82,46,14.97,ID,1970-01-01
160,kondinskoye,-33.01,17.94,78.8,41,0,9.17,ZA,1970-01-01
161,port-cartier,-24.79,-50.01,73.62,58,17,5.59,BR,1970-01-01
162,skibbereen,66.83,70.83,50.32,50,89,6.6,RU,1970-01-01
163,sao filipe,36.96,36.2,86.0,78,0,10.0,TR,1970-01-01
164,east london,10.37,10.73,88.21,54,18,1.43,NG,1970-01-01
165,avera,22.57,59.53,89.92,50,0,0.98,OM,1970-01-01
166,longlac,-12.63,-41.03,81.82,43,76,6.31,BR,1970-01-01
167,mercedes,-0.91,122.88,75.67,86,92,6.46,ID,1970-01-01
168,vredendal,13.22,-59.52,86.0,74,75,11.41,BB,1970-01-01
169,attawapiskat,11.5,42.5,91.4,66,1,11.41,DJ,1970-01-01
