,City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port hardy,50.7,-127.42,57.2,100,90,3.36,CA,1970-01-01
1,punta arenas,-53.15,-70.92,41.0,86,100,5.82,CL,1970-01-01
2,ushuaia,-54.8,-68.3,39.2,74,75,3.42,AR,1970-01-01
3,toliary,-23.12,-134.97,72.86,85,7,9.82,PF,1970-01-01
4,rikitea,-21.36,55.77,68.0,94,75,17.22,RE,1970-01-01
5,saint-philippe,-20.34,57.76,75.99,83,75,11.41,MU,1970-01-01
6,bambous virieux,42.6,-73.97,66.99,69,0,1.99,US,1970-01-01
7,albany,-34.53,20.04,69.8,64,0,13.87,ZA,1970-01-01
8,bredasdorp,40.16,-8.33,88.0,35,0,8.32,PT,1970-01-01
9,lata,-46.19,168.86,45.0,72,29,11.01,NZ,1970-01-01
10,mataura,16.86,-99.89,77.0,88,75,4.7,MX,1970-01-01
11,acapulco,69.45,-133.04,42.8,87,75,14.99,CA,1970-01-01
12,tuktoyaktuk,33.07,-16.34,78.8,61,20,9.17,PT,1970-01-01
13,grand river south east,-33.65,115.33,50.0,68,5,9.84,AU,1970-01-01
14,porto santo,-9.8,-139.03,77.81,78,5,19.8,PF,1970-01-01
15,busselton,53.05,158.65,53.6,100,75,4.47,RU,1970-01-01
16,atuona,41.37,-73.41,70.0,83,1,4.7,US,1970-01-01
17,petropavlovsk-kamchatskiy,71.97,102.5,46.29,72,12,6.42,RU,1970-01-01
18,bethel,28.31,70.13,100.33,21,16,8.97,PK,1970-01-01
19,khatanga,34.64,-120.46,62.6,77,1,3.36,US,1970-01-01
20,sadiqabad,43.67,-92.1,55.0,71,1,9.17,US,1970-01-01
21,palabuhanratu,-42.78,147.06,61.0,51,100,12.75,AU,1970-01-01
22,lompoc,5.41,100.34,82.4,88,20,2.24,MY,1970-01-01
23,belushya guba,69.22,-51.1,39.2,86,75,9.17,GL,1970-01-01
24,fillmore,16.52,-98.75,79.83,79,69,2.57,MX,1970-01-01
25,new norfolk,11.67,92.75,83.17,79,100,6.38,IN,1970-01-01
26,georgetown,40.52,-111.94,63.0,33,1,3.83,US,1970-01-01
27,ilulissat,47.67,-52.73,64.0,67,20,11.41,CA,1970-01-01
28,sumbawa,69.38,178.42,36.48,86,0,10.25,RU,1970-01-01
29,tecoanapa,-20.52,57.52,75.2,83,75,11.41,MU,1970-01-01
30,port blair,69.49,88.4,51.8,93,75,8.95,RU,1970-01-01
31,riverton,42.94,-6.32,80.01,24,32,3.0,ES,1970-01-01
32,torbay,25.48,103.78,58.12,80,30,0.72,CN,1970-01-01
33,bur gabo,42.1,-79.24,62.01,87,90,11.41,US,1970-01-01
34,leningradskiy,-0.74,-90.35,66.0,94,100,7.0,EC,1970-01-01
35,souillac,56.49,84.88,51.01,81,40,11.18,RU,1970-01-01
36,talnakh,-33.02,27.91,68.0,72,20,10.29,ZA,1970-01-01
37,villablino,50.68,156.12,54.32,91,29,8.43,RU,1970-01-01
38,qujing,77.48,-69.36,23.09,80,37,6.44,GL,1970-01-01
39,jamestown,-13.73,15.07,89.92,11,0,4.72,AO,1970-01-01
40,puerto ayora,39.74,98.52,76.15,22,93,6.46,CN,1970-01-01
41,timiryazevskoye,-24.79,-50.01,73.62,58,17,5.59,BR,1970-01-01
42,east london,-26.65,15.16,72.59,44,0,13.44,NA,1970-01-01
43,severo-kurilsk,57.79,-152.41,57.2,76,75,9.17,US,1970-01-01
44,qaanaaq,4.88,-1.76,80.82,71,93,12.82,GH,1970-01-01
45,caconda,14.16,38.9,78.66,37,0,9.91,ET,1970-01-01
46,jiuquan,-34.42,19.23,73.0,61,0,5.99,ZA,1970-01-01
47,castro,60.05,69.9,45.97,80,12,4.05,RU,1970-01-01
